geometric_altitude_m,temperature_K,pressure_Pa,density_kgm3
0,288.150,101325.0,1.22500
1000,281.651,89876.3,1.11166
5000,255.676,54048.3,0.736429
10000,223.252,26499.9,0.413510
20000,216.650,5529.30,0.0889098
32000,228.490,889.061,0.0135551
